time_ms,I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
188.0,-2.6666666666666714,-1.0,-2.0,0.0,-1.0,-3.0,1.0,2.0,4.0,0.0,0.0,0.0
189.0,-2.6666666666666714,-1.2849999999999837,-2.0,0.0,-1.0,-3.0,1.0,2.0,4.0,0.0,0.0,0.0
190.0,-2.6666666666666714,-1.8499999999999823,-2.0,0.0,-1.0,-3.0,1.0,2.0,4.0,0.0,0.0,0.0
191.0,-2.6666666666666714,-2.0,-2.0,0.8299999999999884,-1.0,-3.0,1.0,2.0,4.0,0.0,0.0,0.0
192.0,-2.6666666666666714,-2.0,-1.040000000000009,1.0,-1.0,-3.0,1.0,2.0,4.0,0.0,0.0,0.0
193.0,-2.6666666666666714,-2.0,-1.0,1.0,-1.0,-3.0,1.0,2.0,4.0,0.0,0.0,0.0
194.0,-2.6666666666666714,-2.0,-1.0,1.0,-1.0,-3.0,1.0,2.0,4.0,0.0,0.0,0.0
195.0,-2.8416666666666623,-2.174999999999991,-1.0,1.0,-1.0,-3.0,1.0,2.0,4.0,0.0,0.0,0.0
196.0,-3.406666666666661,-2.7399999999999896,-1.0,1.0,-1.4799999999999793,-3.0,1.0,2.0,4.0,0.0,0.0,0.0
197.0,-3.6666666666666714,-3.0,-1.0,1.0,-2.0,-3.0,1.0,2.0,4.0,0.0,0.0,0.0
198.0,-3.6666666666666714,-3.0,-1.0,1.0,-2.0,-3.0,1.7399999999999736,2.0,4.0,0.0,0.0,0.0
199.0,-3.6666666666666714,-3.4349999999999854,-1.0,1.0,-2.0,-3.0,2.0,2.0,4.0,0.0,0.0,0.0
200.0,-3.6666666666666714,-3.999999999999984,-1.0,1.9999999999999678,-2.0,-3.0,2.0,2.0,4.0,0.0,0.0,0.0
